day,month,Day_week,year,open_norm,high_norm,low_norm,close_norm
24,4,2,2012,-0.012209761,0.020141764,0.004970372,1
25,4,3,2012,0.023723135,-0.009124287,0.023637708,0
26,4,4,2012,-0.007673588,0.001076846,0.00295741,1
27,4,5,2012,0.002580491,0.007495934,0.00576023,1
30,4,1,2012,0.012306748,0.024977091,0.012306748,1
1,5,2,2012,0,0,0,0
2,5,3,2012,0.024642611,0.008686024,0.024642611,1
3,5,4,2012,0.002678608,0.005163483,0.002678608,1
4,5,5,2012,0.009677869,0.003430032,-0.005490408,0
7,5,1,2012,-0.022319255,-0.016253084,-0.018251333,0
8,5,2,2012,-0.009488469,-0.022151743,-0.017163816,0
9,5,3,2012,-0.018320636,-0.003226645,0.000273268,0
10,5,4,2012,0.007982379,-0.002076782,-0.000401253,0
11,5,5,2012,-0.005530711,-0.006024249,-0.006482415,0
14,5,1,2012,-0.006677171,-0.003653409,-0.002415604,1
15,5,2,2012,-0.005092986,0.016436818,-7.76E-05,1
16,5,3,2012,0.015917337,-0.007683744,0.007523462,0
17,5,4,2012,-0.00398697,-0.00524651,-0.005824994,0
18,5,5,2012,-0.015790281,0.001348223,-0.008216538,0
21,5,1,2012,0.015091727,-0.004962233,0.001700297,0
22,5,2,2012,-0.00543886,-0.002689224,0.002702001,1
23,5,3,2012,0.003634306,0.000989846,-0.003852067,1
24,5,4,2012,-0.003159962,0.005165976,0.002549074,1
25,5,5,2012,0.003050034,-9.33E-05,0.008864482,0
28,5,1,2012,0.009686016,0.00676839,0.006197763,1
29,5,2,2012,0.002943913,0.011946183,0.006134029,1
30,5,3,2012,0.00571872,0.008941282,0.008365933,1
31,5,4,2012,-0.002599886,0.013103283,-0.004148263,0
1,6,5,2012,0.005272186,-0.023326465,-0.005835132,0
4,6,1,2012,-0.020459545,-0.016103073,-0.015631891,0
5,6,2,2012,0.00491004,0.007662056,0.013924192,1
6,6,3,2012,0.006466579,0.015392638,0.006543557,1
7,6,4,2012,0.019021808,0.003056711,0.013381964,1
8,6,5,2012,0.003007556,-0.000231239,-0.011888893,0
11,6,1,2012,-0.0102512,-0.004163259,0.003220883,0
12,6,2,2012,-0.013111553,0.000904152,-0.006185758,1
13,6,3,2012,0.017023688,0.00768249,0.01547608,1
14,6,4,2012,0.002885415,0.003182801,0.004122355,1
15,6,5,2012,0.008880082,0.007116037,0.0084265,1
18,6,1,2012,0.011719456,0.007049477,-0.004268513,0
19,6,2,2012,-0.014524305,-0.015891749,-0.004361149,0
20,6,3,2012,0.001071582,-0.000525685,0.001982728,0
21,6,4,2012,-0.008925778,-0.00451176,-0.010374234,0
22,6,5,2012,-0.008623984,-0.002014315,-0.001698361,0
25,6,1,2012,0.011196406,0.002390623,0.003192987,0
26,6,2,2012,-0.009340295,-0.009160079,-0.003349902,0
27,6,3,2012,0.005262145,0.009527934,0.006915108,1
28,6,4,2012,0.004835139,0.003060753,0.002572235,1
29,6,5,2012,0.009400131,0.014467483,0.010187814,1
2,7,1,2012,0.007843909,-0.001224238,0.005178153,0
3,7,2,2012,0.001758471,-0.001144564,-0.008185126,0
4,7,3,2012,-0.008013003,-0.006737099,-0.004740548,0
5,7,4,2012,-0.004538603,-0.004369135,0.001706442,1
6,7,5,2012,-0.001012262,-0.002087322,-0.008707877,0
9,7,1,2012,-0.013461079,0.000337635,-0.003436999,0
10,7,2,2012,0.008267016,-0.00107842,0.009132764,1
11,7,3,2012,-0.000430667,0.007153276,-0.000970544,0
12,7,4,2012,-0.052075134,-0.056541555,-0.057060299,0
13,7,5,2012,0.002797056,0.00226364,0.00363678,0
16,7,1,2012,-0.00399212,-0.00658521,-0.023891204,0
17,7,2,2012,-0.018150313,-0.021715839,-0.005635854,0
18,7,3,2012,-0.00711268,-0.002795883,0.003471186,1
19,7,4,2012,0.009740027,0.016768755,0.013260186,1
20,7,5,2012,0.010268401,-0.000316144,0.003262773,0
23,7,1,2012,-0.010040832,-0.007045223,-0.007248689,0
24,7,2,2012,-0.004649096,-0.00436152,-0.007310542,0
25,7,3,2012,-0.00210767,-0.004496139,-0.003075235,1
26,7,4,2012,9.84E-05,-0.002570625,-0.014927527,0
27,7,5,2012,-0.004465444,-0.001709218,0.00682147,1
30,7,1,2012,0.004809075,0.014745957,0.012950281,1
31,7,2,2012,0.013517261,0.008091801,0.009292262,1
1,8,3,2012,0.00160644,-0.001358255,0.00476792,0
2,8,4,2012,2.64E-05,-0.001421526,0.00117747,0
3,8,5,2012,-0.004943646,0.002688928,-0.003713955,1
6,8,1,2012,0.014842629,0.00646767,0.008999973,1
