Date,Close,Open,High,Low
31-Jan-13,6778,6789.8,6807.75,6733
01-Feb-13,6752.65,6779,6802.9,6732.05
04-Feb-13,6750.25,6766.65,6794.5,6728.8
05-Feb-13,6728.7,6724.4,6771,6720.05
06-Feb-13,6766.8,6760.6,6775.9,6738.25
07-Feb-13,6799,6762.3,6813.15,6762.3
08-Feb-13,6852.7,6793.75,6909.55,6793.75
11-Feb-13,6832.05,6872.9,6890.75,6826.3
12-Feb-13,6791.9,6799.9,6809.25,6766.75
13-Feb-13,6884.15,6796.45,6897.75,6779.65
14-Feb-13,6900.35,6878.25,6939.75,6878.25
15-Feb-13,6864.15,6866.7,6876.35,6826.5
18-Feb-13,6834.7,6853.35,6858.85,6808
19-Feb-13,6936.25,6832,6944,6813.55
20-Feb-13,6972.05,6937.4,6977.7,6937.4
21-Feb-13,6939.85,6929.5,6985.3,6924.8
22-Feb-13,6992.85,6924.45,7018.55,6924.45
25-Feb-13,7095.2,7026.2,7126.95,7026.2
26-Feb-13,7156.75,7082.85,7172.05,7082.85
27-Feb-13,7072.5,7144.85,7155.9,7064.3
28-Feb-13,7106.65,7084.8,7160.75,7069.65
01-Mar-13,7117.7,7116.3,7171.95,7090.95
04-Mar-13,7101.65,7112.5,7163.7,7062.6
05-Mar-13,7200.2,7131.8,7205.8,7117.6
06-Mar-13,7305.9,7227.7,7314.9,7226.75
07-Mar-13,7410.25,7319.9,7420.45,7319.9
08-Mar-13,7357,7391.55,7402.55,7344.15
11-Mar-13,7304.6,7355.75,7380.1,7290.25
12-Mar-13,7253.2,7286.65,7295.55,7232.25
13-Mar-13,7170.4,7211.25,7211.25,7159.35
14-Mar-13,7212.4,7180.95,7242,7131.95
15-Mar-13,7224.35,7221.85,7277.2,7212.3
18-Mar-13,7198.65,7190.85,7227.45,7166.85
19-Mar-13,7152.55,7213.25,7229.2,7140
20-Mar-13,7158.25,7153.85,7179.75,7115.65
21-Mar-13,7168.05,7186.35,7220.05,7157.1
22-Mar-13,7119.8,7140.45,7149.7,7085.15
25-Mar-13,7105.95,7113.05,7131.9,7072.75
26-Mar-13,7137.05,7094.55,7163,7072.1
27-Mar-13,7137.05,7094.55,7163,7072.1
28-Mar-13,7219.05,7153.6,7232.1,7147.25
29-Mar-13,7219.05,7153.6,7232.1,7147.25
01-Apr-13,7264.35,7230.65,7298.95,7230.65
02-Apr-13,7325.25,7249.35,7337.45,7232.1
03-Apr-13,7271.9,7305.6,7354.3,7248.4
04-Apr-13,7072.7,7232.65,7232.65,7060.65
05-Apr-13,7047.35,7066.85,7098.65,7018.45
08-Apr-13,6977.1,7027.9,7057,6968.35
09-Apr-13,6905.7,6984.85,7023.9,6892.25
10-Apr-13,7042.95,6977.8,7058.25,6939.65
11-Apr-13,7200.35,7125.8,7221.7,7066.3
12-Apr-13,6354.9,6726.4,6726.4,6321.65
15-Apr-13,6342.7,6348.65,6370.8,6177.45
16-Apr-13,6301.1,6305.05,6327.4,6266.15
17-Apr-13,6235.85,6352.3,6370.95,6190.1
18-Apr-13,6232.6,6282.5,6294.1,6199.25
19-Apr-13,6232.6,6282.5,6294.1,6199.25
22-Apr-13,6118.25,6217.15,6233.3,6106.9
23-Apr-13,6156.9,6127.2,6181.1,6127.2
24-Apr-13,6156.9,6127.2,6181.1,6127.2
25-Apr-13,6059.8,6141,6141,6053.75
26-Apr-13,5972.7,6036.75,6046.25,5964.45
29-Apr-13,6015.45,5959.45,6052.25,5936.4
30-Apr-13,6047.7,6017.75,6055.5,6001.7
01-May-13,6047.7,6017.75,6055.5,6001.7
02-May-13,6205.9,6035.4,6211.6,6035.4
03-May-13,6224.7,6211.8,6267.45,6208.3
06-May-13,6343.25,6238.85,6351.15,6238.85
07-May-13,6372.75,6356.35,6379.9,6313.85
08-May-13,6380.15,6393.8,6412.85,6365.8
09-May-13,6426.45,6389.15,6449.5,6389.15
10-May-13,6439.85,6429.85,6476.55,6416.6
13-May-13,6316,6398.55,6407.45,6309.75
14-May-13,6328.05,6322.1,6371.45,6298.4
15-May-13,6359.7,6332.45,6375.95,6316.55
16-May-13,6292.15,6347.55,6347.55,6264.85
17-May-13,6331.05,6299,6372.7,6299
20-May-13,6358.75,6323.9,6382.1,6323.9
21-May-13,6421,6348.25,6458.7,6348.25
22-May-13,6420.2,6440.5,6500.4,6411.5
23-May-13,6378.45,6411.55,6497.9,6372.3
24-May-13,6330.8,6396.75,6431.95,6314.15
27-May-13,6410.95,6322.55,6427.3,6298.65
28-May-13,6431.6,6409.75,6441.6,6385.7
29-May-13,6396.25,6441.85,6492.8,6355.65
30-May-13,6390.4,6371.5,6419.95,6344.5
31-May-13,6472.05,6381.95,6483.9,6381.45
03-Jun-13,6551.65,6627.95,6758.8,6511.05
04-Jun-13,6516.65,6511.55,6554.9,6469.95
05-Jun-13,6474,6490.8,6508.2,6465.4
06-Jun-13,6451.55,6433.85,6484.55,6417.95
07-Jun-13,6540.05,6440.9,6588.15,6440.9
10-Jun-13,6604.7,6571.2,6633.1,6568.15
11-Jun-13,6550.95,6615.7,6661.7,6523.95
12-Jun-13,6438.6,6521.85,6562.95,6424.45
13-Jun-13,6334.6,6427.6,6427.6,6316.35
14-Jun-13,6370.4,6359.1,6395.85,6323.5
17-Jun-13,6423.2,6394.25,6438.05,6358.55
18-Jun-13,6451.95,6436.25,6471.35,6418.85
19-Jun-13,6435.1,6468.85,6468.85,6387.55
20-Jun-13,6290.15,6408.7,6433.1,6259.5
21-Jun-13,6381.85,6296.65,6398.7,6296.65
24-Jun-13,6309.45,6353.35,6376.75,6284.1
25-Jun-13,6268.85,6309.1,6335.4,6246.4
26-Jun-13,6378.35,6298.55,6400.5,6277.05
27-Jun-13,6587.15,6428.75,6607.15,6424.25
28-Jun-13,6634.15,6586.7,6648.6,6489.15
01-Jul-13,6526.45,6589.3,6589.3,6515.3
02-Jul-13,6474.25,6527.5,6564.7,6463.25
03-Jul-13,6451.3,6464.8,6547,6404.65
04-Jul-13,6633.2,6490.2,6640.7,6487.4
05-Jul-13,6604.7,6646.75,6674.35,6591.35
08-Jul-13,6607.95,6640.25,6653.35,6594.9
09-Jul-13,6653.9,6609,6681.75,6609
10-Jul-13,6690.95,6672.6,6710.4,6658.9
11-Jul-13,6799.5,6748.75,6823.5,6748.75
12-Jul-13,7249.4,7173.45,7361,7157.25
15-Jul-13,7225.4,7216.8,7261.35,7164
16-Jul-13,7208.8,7132.7,7278.3,7122.35
17-Jul-13,7272,7203.6,7300,7203.6
18-Jul-13,7306.35,7286.7,7362.2,7245.65
19-Jul-13,7503.7,7400.35,7545.1,7400.35
22-Jul-13,7556.55,7472.15,7590.3,7468.25
23-Jul-13,7604,7579.1,7650.6,7579.1
24-Jul-13,7669.25,7569.05,7687.25,7569.05
25-Jul-13,7678.15,7660.7,7720.6,7629.85
26-Jul-13,7663,7699,7747.05,7650.1
29-Jul-13,7673.3,7638.8,7708.95,7633.9
30-Jul-13,7718.85,7694.55,7762.2,7689.75
31-Jul-13,7787.35,7738.25,7808.5,7708.65
01-Aug-13,7777.1,7811.45,7822.6,7727.95
02-Aug-13,7858.35,7793.95,7895.5,7793.95
05-Aug-13,7916.5,7838.65,7951.55,7838.65
06-Aug-13,7877.15,7920.95,7933.6,7839.35
07-Aug-13,7767.75,7876.35,7934.75,7738.15
08-Aug-13,7801.45,7710.4,7816.4,7687
09-Aug-13,7801.45,7710.4,7816.4,7687
12-Aug-13,7841.45,7820.1,7874.95,7781.95
13-Aug-13,7976.25,7860.1,7989.25,7860.1
14-Aug-13,7956.1,7971.9,8032.25,7874.1
15-Aug-13,7956.1,7971.9,8032.25,7874.1
16-Aug-13,7774.2,7879.45,7910.4,7724.95
19-Aug-13,7793.2,7811.85,7870.4,7708.75
20-Aug-13,7693.5,7828.2,7828.2,7677.85
21-Aug-13,7594.05,7679.2,7679.2,7549.1
22-Aug-13,7777.5,7614.85,7796.1,7563.25
23-Aug-13,7893.2,7786.35,7902.5,7761.35
26-Aug-13,7958.65,7908.6,8047.4,7893.85
27-Aug-13,7975.8,7952.55,8073.9,7952.55
28-Aug-13,8175.3,7948.65,8222.65,7948.65
29-Aug-13,8246.9,8110.05,8286.9,8083.9
30-Aug-13,8382.4,8225.65,8406.65,8196
02-Sep-13,8396.9,8325.85,8423.8,8325.85
03-Sep-13,8259.4,8380.65,8410.95,8226.25
04-Sep-13,8454.1,8293,8499.55,8293
05-Sep-13,8203.4,8437.95,8437.95,8185.4
06-Sep-13,8216.5,8224.65,8310.8,8172
09-Sep-13,8216.5,8224.65,8310.8,8172
10-Sep-13,8411.05,8211.9,8443.75,8211.9
11-Sep-13,8373.25,8421.3,8465.1,8360.9
12-Sep-13,8270.15,8367.05,8381.45,8222.4
13-Sep-13,8172.65,8257.85,8290,8152.9
16-Sep-13,8017.2,8172.3,8212.6,8005.1
17-Sep-13,8154.25,8048.1,8166.6,8030.35
18-Sep-13,8159.1,8160.4,8183.1,8119.55
19-Sep-13,8156.95,8130.6,8218,8093.8
20-Sep-13,8132.8,8119.25,8225.8,8119.25
23-Sep-13,8200.7,8137.95,8256.9,8133.4
24-Sep-13,8169.1,8217.65,8250.85,8132.65
25-Sep-13,8187.55,8192.95,8218,8116.45
26-Sep-13,8157.8,8212.1,8225.35,8139.9
27-Sep-13,8166.55,8176.4,8249,8147.75
30-Sep-13,8167.8,8196.4,8263.85,8136.85
01-Oct-13,8181.65,8195.05,8208.5,8133.4
02-Oct-13,8181.65,8195.05,8208.5,8133.4
03-Oct-13,8360.85,8244.7,8374.2,8234.15
04-Oct-13,8352.35,8353.3,8429.9,8329.45
